ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0001836	release of cytochrome c from mitochondria	2/20	60/18866	0.00182141924218819	0.0169215723145225	0.00869993118509809	10018/666	2
BP	GO:0033619	membrane protein proteolysis	2/20	61/18866	0.00188196713719391	0.0171159958582689	0.00879989065812556	8720/51360	2
BP	GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	2/20	61/18866	0.00188196713719391	0.0171159958582689	0.00879989065812556	10018/666	2
BP	GO:0032872	regulation of stress-activated MAPK cascade	3/20	237/18866	0.00190536384925883	0.0171482746433294	0.00881648623231606	153090/2081/5770	3
BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	3/20	240/18866	0.00197494828481251	0.0175912919389485	0.00904425584580444	153090/2081/5770	3
BP	GO:1902686	mitochondrial outer membrane permeabilization involved in programmed cell death	2/20	63/18866	0.00200591167850841	0.0176847723492986	0.0090923171678899	10018/666	2
BP	GO:0051402	neuron apoptotic process	3/20	245/18866	0.00209442611159422	0.018073203243664	0.0092920221355095	10018/7466/666	3
BP	GO:0006469	negative regulation of protein kinase activity	3/20	246/18866	0.00211885154079625	0.018073203243664	0.0092920221355095	153090/5770/4690	3
BP	GO:0035794	positive regulation of mitochondrial membrane permeability	2/20	65/18866	0.00213364204959922	0.018073203243664	0.0092920221355095	10018/666	2
BP	GO:0090181	regulation of cholesterol metabolic process	2/20	65/18866	0.00213364204959922	0.018073203243664	0.0092920221355095	8720/51360	2
BP	GO:0046626	regulation of insulin receptor signaling pathway	2/20	66/18866	0.00219892224146301	0.0182679693906158	0.00939215775199788	5770/4690	2
BP	GO:1902108	regulation of mitochondrial membrane permeability involved in apoptotic process	2/20	66/18866	0.00219892224146301	0.0182679693906158	0.00939215775199788	10018/666	2
BP	GO:1905710	positive regulation of membrane permeability	2/20	67/18866	0.00226514328008548	0.0186388932761319	0.00958286179645185	10018/666	2
BP	GO:0072577	endothelial cell apoptotic process	2/20	68/18866	0.00233230330057875	0.0190104721858494	0.00977390261017112	153090/4780	2
BP	GO:0030032	lamellipodium assembly	2/20	69/18866	0.00240040044061327	0.0193826727167277	0.00996526301956517	4690/8440	2
BP	GO:1903362	regulation of cellular protein catabolic process	3/20	260/18866	0.00247967994948648	0.0198374395958918	0.0101990734764454	153090/23376/4780	3
BP	GO:0043406	positive regulation of MAP kinase activity	3/20	264/18866	0.0025893484646185	0.0205247437929393	0.0105524389383777	153090/2081/5770	3
BP	GO:0033673	negative regulation of kinase activity	3/20	268/18866	0.00270199147897265	0.0210678864009332	0.0108316862343979	153090/5770/4690	3
BP	GO:0006695	cholesterol biosynthetic process	2/20	75/18866	0.00282855882234751	0.0210678864009332	0.0108316862343979	8720/51360	2
BP	GO:0035924	cellular response to vascular endothelial growth factor stimulus	2/20	75/18866	0.00282855882234751	0.0210678864009332	0.0108316862343979	153090/2081	2
BP	GO:0038034	signal transduction in absence of ligand	2/20	75/18866	0.00282855882234751	0.0210678864009332	0.0108316862343979	10018/666	2
BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	2/20	75/18866	0.00282855882234751	0.0210678864009332	0.0108316862343979	10018/666	2
BP	GO:1900076	regulation of cellular response to insulin stimulus	2/20	75/18866	0.00282855882234751	0.0210678864009332	0.0108316862343979	5770/4690	2
BP	GO:1902653	secondary alcohol biosynthetic process	2/20	75/18866	0.00282855882234751	0.0210678864009332	0.0108316862343979	8720/51360	2
BP	GO:0046902	regulation of mitochondrial membrane permeability	2/20	77/18866	0.00297869122677053	0.0219964890592285	0.0113091110903928	10018/666	2
BP	GO:0030433	ubiquitin-dependent ERAD pathway	2/20	78/18866	0.00305513905852933	0.0223698317505876	0.0115010587216715	7466/4780	2
BP	GO:0043407	negative regulation of MAP kinase activity	2/20	79/18866	0.0031325055266015	0.0225540397915308	0.0115957660721564	153090/5770	2
BP	GO:0070373	negative regulation of ERK1 and ERK2 cascade	2/20	79/18866	0.0031325055266015	0.0225540397915308	0.0115957660721564	153090/5770	2
BP	GO:0051403	stress-activated MAPK cascade	3/20	286/18866	0.003246431557849	0.0231811311238143	0.0119181741401677	153090/2081/5770	3
BP	GO:0016126	sterol biosynthetic process	2/20	81/18866	0.00328998703668982	0.0232995803254099	0.0119790727306567	8720/51360	2
BP	GO:1902930	regulation of alcohol biosynthetic process	2/20	82/18866	0.00337009841751374	0.0235225454228949	0.0120937063455917	8720/51360	2
BP	GO:0010976	positive regulation of neuron projection development	3/20	290/18866	0.00337592087087844	0.0235225454228949	0.0120937063455917	153090/4690/4780	3
BP	GO:0051348	negative regulation of transferase activity	3/20	296/18866	0.00357606506805856	0.0247177617504208	0.0127082059681744	153090/5770/4690	3
BP	GO:0031098	stress-activated protein kinase signaling cascade	3/20	300/18866	0.00371347111611282	0.0253459328287987	0.0130311691688025	153090/2081/5770	3
BP	GO:0048013	ephrin receptor signaling pathway	2/20	87/18866	0.00378428858207758	0.0253459328287987	0.0130311691688025	4690/8440	2
BP	GO:0060218	hematopoietic stem cell differentiation	2/20	87/18866	0.00378428858207758	0.0253459328287987	0.0130311691688025	23376/4780	2
BP	GO:0097581	lamellipodium organization	2/20	87/18866	0.00378428858207758	0.0253459328287987	0.0130311691688025	4690/8440	2
BP	GO:0090559	regulation of membrane permeability	2/20	88/18866	0.00386984053208785	0.0257195555363377	0.0132232607655148	10018/666	2
BP	GO:0042063	gliogenesis	3/20	307/18866	0.00396166992492074	0.0261288764513857	0.0134337059728128	153090/23376/666	3
BP	GO:0042058	regulation of epidermal growth factor receptor signaling pathway	2/20	90/18866	0.00404364384001114	0.0264467275404165	0.0135971235648828	153090/8440	2
BP	GO:0018105	peptidyl-serine phosphorylation	3/20	310/18866	0.00407108190147616	0.0264467275404165	0.0135971235648828	2081/4690/8440	3
BP	GO:0032088	negative regulation of NF-kappaB transcription factor activity	2/20	93/18866	0.0043110702199403	0.0275908494076179	0.0141853538621038	153090/23376	2
BP	GO:0061097	regulation of protein tyrosine kinase activity	2/20	93/18866	0.0043110702199403	0.0275908494076179	0.0141853538621038	5770/8440	2
BP	GO:0006470	protein dephosphorylation	3/20	323/18866	0.00456657464471914	0.0290111800958627	0.0149155921058164	5770/4690/84919	3
BP	GO:1901184	regulation of ERBB signaling pathway	2/20	97/18866	0.00468010975008461	0.0293015566961819	0.015064884168846	153090/8440	2
BP	GO:1901216	positive regulation of neuron death	2/20	97/18866	0.00468010975008461	0.0293015566961819	0.015064884168846	10018/1965	2
BP	GO:0050810	regulation of steroid biosynthetic process	2/20	98/18866	0.00477458463877446	0.0296779937259075	0.0152584227002107	8720/51360	2
BP	GO:0071375	cellular response to peptide hormone stimulus	3/20	330/18866	0.00484795345654248	0.0297471115261052	0.015293958411326	5770/4690/4780	3
BP	GO:0051817	modulation of process of other organism involved in symbiotic interaction	2/20	99/18866	0.0048699419523679	0.0297471115261052	0.015293958411326	10018/9217	2
BP	GO:0032147	activation of protein kinase activity	3/20	331/18866	0.00488899286655896	0.0297471115261052	0.015293958411326	153090/2081/5770	3
BP	GO:0036503	ERAD pathway	2/20	100/18866	0.00496617990640999	0.0298302410823274	0.0153366980223467	7466/4780	2
BP	GO:0018209	peptidyl-serine modification	3/20	333/18866	0.00497170684705457	0.0298302410823274	0.0153366980223467	2081/4690/8440	3
BP	GO:0030838	positive regulation of actin filament polymerization	2/20	101/18866	0.00506329671891213	0.0299636189393156	0.0154052719205546	4690/8440	2
BP	GO:0042102	positive regulation of T cell proliferation	2/20	101/18866	0.00506329671891213	0.0299636189393156	0.0154052719205546	4690/8440	2
BP	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	2/20	103/18866	0.00526015980365694	0.0309168576214939	0.0158953629584191	10018/666	2
BP	GO:0043405	regulation of MAP kinase activity	3/20	342/18866	0.00535446447469414	0.031258495311728	0.0160710100165073	153090/2081/5770	3
BP	GO:1901800	positive regulation of proteasomal protein catabolic process	2/20	110/18866	0.00597660385121973	0.0346562800500258	0.0178179217606127	153090/4780	2
BP	GO:0035821	modulation of process of other organism	2/20	113/18866	0.00629660413919946	0.0362684398417889	0.0186467855911731	10018/9217	2
BP	GO:0010822	positive regulation of mitochondrion organization	2/20	119/18866	0.00695966736041743	0.0398222026450375	0.0204738907361182	10018/666	2
BP	GO:0045666	positive regulation of neuron differentiation	3/20	380/18866	0.00716527009502986	0.0407289036980644	0.0209400552638684	153090/4690/4780	3
BP	GO:0007173	epidermal growth factor receptor signaling pathway	2/20	123/18866	0.00741864205329444	0.0418935080656627	0.0215388162813227	153090/8440	2
BP	GO:0008637	apoptotic mitochondrial changes	2/20	125/18866	0.00765316759407661	0.0429372519563779	0.022075438993167	10018/666	2
BP	GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process	2/20	127/18866	0.00789103354559178	0.0438307629557418	0.0225348220849452	153090/4780	2
BP	GO:0031346	positive regulation of cell projection organization	3/20	394/18866	0.00791388775589783	0.0438307629557418	0.0225348220849452	153090/4690/4780	3
BP	GO:0042176	regulation of protein catabolic process	3/20	397/18866	0.00808013652272	0.0444664837938221	0.0228616668628082	153090/23376/4780	3
BP	GO:0010508	positive regulation of autophagy	2/20	131/18866	0.00837673175413208	0.0452343514723132	0.0232564526331825	10018/23376	2
BP	GO:0019218	regulation of steroid metabolic process	2/20	131/18866	0.00837673175413208	0.0452343514723132	0.0232564526331825	8720/51360	2
BP	GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process	2/20	131/18866	0.00837673175413208	0.0452343514723132	0.0232564526331825	23376/4780	2
BP	GO:0043280	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	2/20	134/18866	0.00874967206604211	0.046954761894785	0.0241409716369387	10018/666	2
BP	GO:0045727	positive regulation of translation	2/20	136/18866	0.00900240036908367	0.0477182449011552	0.0245335031046387	4690/8440	2
BP	GO:0050671	positive regulation of lymphocyte proliferation	2/20	136/18866	0.00900240036908367	0.0477182449011552	0.0245335031046387	4690/8440	2
BP	GO:0032273	positive regulation of protein polymerization	2/20	137/18866	0.00912998985684792	0.0478079468867673	0.024579621815565	4690/8440	2
BP	GO:0032946	positive regulation of mononuclear cell proliferation	2/20	137/18866	0.00912998985684792	0.0478079468867673	0.024579621815565	4690/8440	2
CC	GO:0030176	integral component of endoplasmic reticulum membrane	5/20	158/19559	4.53830843087132e-07	1.94228533684611e-05	1.15957333543051e-05	51283/2081/22926/1388/7466	5
CC	GO:0031227	intrinsic component of endoplasmic reticulum membrane	5/20	166/19559	5.79786667715256e-07	1.94228533684611e-05	1.15957333543051e-05	51283/2081/22926/1388/7466	5
CC	GO:0031301	integral component of organelle membrane	5/20	367/19559	2.78221288566544e-05	0.000621360877798616	0.000370961718088726	51283/2081/22926/1388/7466	5
CC	GO:0031300	intrinsic component of organelle membrane	5/20	398/19559	4.0993410304149e-05	0.000686639622594496	0.00040993410304149	51283/2081/22926/1388/7466	5
CC	GO:0000164	protein phosphatase type 1 complex	2/20	15/19559	0.000103475447829408	0.00138657100091407	0.000827803582635268	4690/84919	2
CC	GO:0005635	nuclear envelope	4/20	473/19559	0.00120267199903869	0.0102933837376255	0.00614530372395554	2081/54956/22926/666	4
CC	GO:0008287	protein serine/threonine phosphatase complex	2/20	51/19559	0.00122906074479111	0.0102933837376255	0.00614530372395554	4690/84919	2
CC	GO:1903293	phosphatase complex	2/20	51/19559	0.00122906074479111	0.0102933837376255	0.00614530372395554	4690/84919	2
MF	GO:0035591	signaling adaptor activity	3/20	68/18352	5.30191878014525e-05	0.00428914206538502	0.00258619705526537	153090/4690/8440	3
MF	GO:0035497	cAMP response element binding	2/20	14/18352	0.000101876360166153	0.00428914206538502	0.00258619705526537	22926/1388	2
MF	GO:0030674	protein-macromolecule adaptor activity	4/20	244/18352	0.000124926467923836	0.00428914206538502	0.00258619705526537	51283/153090/4690/8440	4
MF	GO:0008093	cytoskeletal anchor activity	2/20	22/18352	0.000257260230723802	0.00596285586481863	0.00359538575395298	4690/8440	2
MF	GO:0060090	molecular adaptor activity	4/20	316/18352	0.000336034311735193	0.00596285586481863	0.00359538575395298	51283/153090/4690/8440	4
MF	GO:0046875	ephrin receptor binding	2/20	27/18352	0.00038962658121501	0.00596285586481863	0.00359538575395298	5770/4690	2
